"Page","URL","Method"
"aboutUs","/v1/admin/aboutus/get","GET"
"applications","/v1/admin/application/list","GET"
"applications","/v1/admin/user/delete","DELETE"
"applicationView","/v1/admin/application/get","GET"
"applicationView","/v1/admin/application/get-questionnaire","GET"
"basicDashboard","/v1/admin/profile/dashboard","GET"
"blog","/v1/admin/blog/add","POST"
"blog","/v1/admin/blog/delete","POST"
"blog","/v1/admin/blog/edit","POST"
"blog","/v1/admin/blog/list","GET"
"carousel_Img","/v1/admin/delete/carousel","DELETE"
"carousel_Img","/v1/admin/edit/carousel","PUT"
"carousel_Img","/v1/admin/webpage/add-update-home-carousel","POST"
"carousel_Img","/v1/admin/webpage/get-home-carousel","GET"
"commission","/v1/admin/delete/carousel","DELETE"
"commission","/v1/admin/edit/carousel","PUT"
"commission","/v1/admin/settings/add-update-commission","POST"
"commission","/v1/admin/settings/get-commission","GET"
"contactUs","/v1/admin/delete/contact/query","DELETE"
"contactUs","/v1/admin/query/list","GET"
"cookiesPolicy","/v1/admin/policy/get","GET"
"customersprt","/v1/admin/chat/list","GET"
"customersprt","/v1/admin/chat/list","GET"
"customersprt","/v1/admin/chat/recent-user-list","GET"
"customersprt","/v1/admin/chat/send","POST"
"edittaxCredits","/v1/admin/tax-credit/edit","POST"
"edittaxCredits","/v1/admin/tax-credit/get","GET"
"faqs","/v1/admin/faq/add","POST"
"faqs","/v1/admin/faq/delete","POST"
"faqs","/v1/admin/faq/edit","POST"
"faqs","/v1/admin/faq/list","GET"
"feeStructure","/v1/admin/policy/get","GET"
"fileCategory","/v1/admin/document-category/add","POST"
"fileCategory","/v1/admin/document-category/delete","POST"
"fileCategory","/v1/admin/document-category/edit","POST"
"fileCategory","/v1/admin/document-category/list","GET"
"privacyPolicy","/v1/admin/policy/get","GET"
"queryCategory","/v1/admin/query-category/add","POST"
"queryCategory","/v1/admin/query-category/delete","POST"
"queryCategory","/v1/admin/query-category/edit","POST"
"queryCategory","/v1/admin/query-category/list","GET"
"review","/v1/admin/application-review/list","GET"
"review","/v1/admin/user/delete","DELETE"
"reviewView","/v1/admin/application-review/approve-reject","POST"
"reviewView","/v1/admin/application-review/approve-reject","POST"
"reviewView","/v1/admin/application-review/get","GET"
"taxCredits","/v1/admin/tax-credit/add","POST"
"taxCredits","/v1/admin/tax-credit/delete","POST"
"taxCredits","/v1/admin/tax-credit/list","GET"
"template","/v1/admin/document-template/add","POST"
"template","/v1/admin/document-template/delete","POST"
"template","/v1/admin/document-template/edit","POST"
"template","/v1/admin/document-template/list","GET"
"termsandCondition","/v1/admin/policy/get","GET"
"topHeader","/v1/admin/webpage/add-socialmedia","POST"
"topHeader","/v1/admin/webpage/add-update-header","POST"
"topHeader","/v1/admin/webpage/delete-socialmedia","POST"
"topHeader","/v1/admin/webpage/edit-socialmedia","POST"
"topHeader","/v1/admin/webpage/get-header","GET"
"usersList","/v1/admin/user/delete","POST"
"usersList","/v1/admin/user/list","GET"
"usersList","/v1/admin/user/terminate-activate","POST"
"usersList","/v1/admin/user/terminate-activate","POST"
"userView","/v1/admin/application/list","GET"
"userView","/v1/admin/user/get","GET"
