"folder","name","method","endpoint","description"
"Admin","SignIn | <<BASE_URL>>/admins/auth/signin","POST","<<BASE_URL>>/admins/auth/signin","[has responses]"
"Admin","Lookup | <<BASE_URL>>/admins/lookup","GET","<<BASE_URL>>/admins/lookup","[has responses]"
"Admin","Profile | <<BASE_URL>>/admins/profile","GET","<<BASE_URL>>/admins/profile","[has responses]"
"Admin","List Admin Users | <<BASE_URL>>/admins","GET","<<BASE_URL>>/admins","[has responses]"
"Admin","Signout | <<BASE_URL>>/admins/auth/signout","POST","<<BASE_URL>>/admins/auth/signout","[has responses]"
"Admin","Refresh Token | <<BASE_URL>>/admins/auth/token/refresh","POST","<<BASE_URL>>/admins/auth/token/refresh","[has responses]"
"Admin","Change Password | <<BASE_URL>>/admins/auth/password/change","POST","<<BASE_URL>>/admins/auth/password/change","[has responses]"
"Admin","Send Email Verification Code | <<BASE_URL>>/admins/auth/email/verify","POST","<<BASE_URL>>/admins/auth/email/verify","[has responses]"
"Admin","Verify Email OTP | <<BASE_URL>>/admins/auth/email/verify/confirm","POST","<<BASE_URL>>/admins/auth/email/verify/confirm","[has responses]"
"Admin","Reset Password | <<BASE_URL>>/admins/auth/password/reset","POST","<<BASE_URL>>/admins/auth/password/reset","[has responses]"
"Admin","Update Profile | <<BASE_URL>>/admins/23b21281-ed16-41eb-b15b-6c616e8968e1/profile","PUT","<<BASE_URL>>/admins/23b21281-ed16-41eb-b15b-6c616e8968e1/profile","[has responses]"
"Admin","Register New User | <<BASE_URL>>/admins","POST","<<BASE_URL>>/admins","[has responses]"
"Admin","Dashboard | <<BASE_URL>>/admins/dashboard","GET","<<BASE_URL>>/admins/dashboard","[has responses]"
"Admin","Reports | <<BASE_URL>>/admins/reports","GET","<<BASE_URL>>/admins/reports","[has responses]"
"RBAC","List Roles | <<BASE_URL>>/rbac/roles","GET","<<BASE_URL>>/rbac/roles","[has responses]"
"RBAC","Get Role Details | <<BASE_URL>>/rbac/roles/960fd7a2-048e-4a19-aff8-4bfe10d96760","GET","<<BASE_URL>>/rbac/roles/960fd7a2-048e-4a19-aff8-4bfe10d96760","[has responses]"
"RBAC","Create Role | <<BASE_URL>>/rbac/roles","POST","<<BASE_URL>>/rbac/roles","[has responses]"
"RBAC","List Modules | <<BASE_URL>>/rbac/modules","GET","<<BASE_URL>>/rbac/modules","[has responses]"
"RBAC","Update Role | <<BASE_URL>>/rbac/roles/01f9a77b-120b-4588-9af5-ed22d16f3e0a","PUT","<<BASE_URL>>/rbac/roles/01f9a77b-120b-4588-9af5-ed22d16f3e0a","[has responses]"
"RBAC","Delete Role | <<BASE_URL>>/rbac/roles/01f9a77b-120b-4588-9af5-ed22d16f3e0a","DELETE","<<BASE_URL>>/rbac/roles/01f9a77b-120b-4588-9af5-ed22d16f3e0a","[has responses]"
"RBAC","Get Role Permissions | <<BASE_URL>>/rbac/roles/960fd7a2-048e-4a19-aff8-4bfe10d96760/permissions","GET","<<BASE_URL>>/rbac/roles/960fd7a2-048e-4a19-aff8-4bfe10d96760/permissions","[has responses]"
"Blog","List Blogs | <<BASE_URL>>/blogs","GET","<<BASE_URL>>/blogs","[has responses]"
"Blog","Create New Blog Post | <<BASE_URL>>/blogs","POST","<<BASE_URL>>/blogs","[has responses]"
