"Page","URL","Method"
"applications","/v1/admin/application/list","GET"
"applications","/v1/admin/user/delete","DELETE"
"applicationView","/v1/admin/application/get","GET"
"applicationView","/v1/admin/application/get-questionnaire","GET"
"blog","/v1/admin/blog/add","POST"
"blog","/v1/admin/blog/list","GET"
"blog","/v1/admin/blog/edit","POST"
"blog","/v1/admin/blog/delete","POST"
"carousel_Img","/v1/admin/webpage/add-update-home-carousel","POST"
"carousel_Img","/v1/admin/webpage/get-home-carousel","GET"
"carousel_Img","/v1/admin/edit/carousel","PUT"
"carousel_Img","/v1/admin/delete/carousel","DELETE"
"fileCategory","/v1/admin/document-category/add","POST"
"fileCategory","/v1/admin/document-category/list","GET"
"fileCategory","/v1/admin/document-category/edit","POST"
"fileCategory","/v1/admin/document-category/delete","POST"
"queryCategory","/v1/admin/query-category/add","POST"
"queryCategory","/v1/admin/query-category/list","GET"
"queryCategory","/v1/admin/query-category/edit","POST"
"queryCategory","/v1/admin/query-category/delete","POST"
"commission","/v1/admin/settings/add-update-commission","POST"
"commission","/v1/admin/settings/get-commission","GET"
"commission","/v1/admin/edit/carousel","PUT"
"commission","/v1/admin/delete/carousel","DELETE"
"contactUs","/v1/admin/query/list","GET"
"contactUs","/v1/admin/delete/contact/query","DELETE"
"aboutUs","/v1/admin/aboutus/get","GET"
"cookiesPolicy","/v1/admin/policy/get","GET"
"customersprt","/v1/admin/chat/list","GET"
"customersprt","/v1/admin/chat/list","GET"
"customersprt","/v1/admin/chat/send","POST"
"customersprt","/v1/admin/chat/recent-user-list","GET"
"basicDashboard","/v1/admin/profile/dashboard","GET"
"template","/v1/admin/document-template/edit","POST"
"template","/v1/admin/document-template/add","POST"
"template","/v1/admin/document-template/list","GET"
"template","/v1/admin/document-template/delete","POST"
"faqs","/v1/admin/faq/add","POST"
"faqs","/v1/admin/faq/list","GET"
"faqs","/v1/admin/faq/edit","POST"
"faqs","/v1/admin/faq/delete","POST"
"feeStructure","/v1/admin/policy/get","GET"
"privacyPolicy","/v1/admin/policy/get","GET"
"review","/v1/admin/application-review/list","GET"
"review","/v1/admin/user/delete","DELETE"
"reviewView","/v1/admin/application-review/get","GET"
"reviewView","/v1/admin/application-review/approve-reject","POST"
"reviewView","/v1/admin/application-review/approve-reject","POST"
"edittaxCredits","/v1/admin/tax-credit/edit","POST"
"edittaxCredits","/v1/admin/tax-credit/get","GET"
"taxCredits","/v1/admin/tax-credit/add","POST"
"taxCredits","/v1/admin/tax-credit/list","GET"
"taxCredits","/v1/admin/tax-credit/delete","POST"
"termsandCondition","/v1/admin/policy/get","GET"
"topHeader","/v1/admin/webpage/delete-socialmedia","POST"
"topHeader","/v1/admin/webpage/add-socialmedia","POST"
"topHeader","/v1/admin/webpage/edit-socialmedia","POST"
"topHeader","/v1/admin/webpage/add-update-header","POST"
"topHeader","/v1/admin/webpage/get-header","GET"
"usersList","/v1/admin/user/list","GET"
"usersList","/v1/admin/user/terminate-activate","POST"
"usersList","/v1/admin/user/delete","POST"
"usersList","/v1/admin/user/terminate-activate","POST"
"userView","/v1/admin/user/get","GET"
"userView","/v1/admin/application/list","GET"
